dimension|indicador|denominacion|orden|fte|um|universo|def_con|def_ope|cob|desagregaciones|uso_alc_lim|metas|ods
dim21|tas_fec_gredad|Tasa de fecundidad por grupo de edad|10|dgeyc_ev_proy|hx1000muj|Mujeres de 15 a 49 años residentes en CABA|Representa el promedio de la fecundidad de cada grupo de edad. Permite analizar el comportamiento reproductivo de las mujeres en un determinado momento. A su vez, es un insumo para medir el nivel de la fecundidad.|Cociente entre los nacimientos de madres de un determinado grupo de edad y las mujeres de esa misma edad, para un año determinado. Se expresa por mil.|1970 en adelante|Grupo de edad|--|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.7 De aquí a 2030, garantizar el acceso universal a los servicios de salud sexual y reproductiva, incluidos los de planificación familiar, información y educación, y la integración de la salud reproductiva en las estrategias y los programas nacionales.|true
dim23|tas_femic|Tasa de femicidios|41|csjn_rnfemijarg|femic*100000muj|Mujeres que residen en la Ciudad de Buenos Aires.|Corresponde a la cuantificación anual de homicidios de mujeres de 15 años de edad y más, asesinadas por razones de género. Se expresa por cada 100.000 mujeres|Cociente entre la cantidad de femicidios ocurridos en la CABA y la población femenina para el período de estudio, multiplicado por 100.000.|2015 en adelante|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5,  lograr la igualdad de género y empoderar a todas las mujeres y niñas. Más específicamente se refiere a la Meta 5.2: eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
dim21|tas_glob_fec|Tasa global de fecundidad (vitales)|30|dgeyc_ev_proy|hxmuj|Mujeres de 15 a 49 años residentes en CABA|Número de hijos que en promedio tendría cada mujer de una cohorte hipotética de mujeres que durante el período fértil tuvieran sus hijos de acuerdo a las tasas de fecundidad por edad de la población en estudio y no estuvieran expuestas a riesgos de mortalidad desde el nacimiento hasta el término del período fértil. |Se obtiene por la suma de las tasas de fecundidad por edad.|1970 en adelante|--|Permite medir el nivel de la fecundidad.||
dim21|tas_mort_mat|Tasa de mortalidad materna|80|dgeyc_ev|mx10000nac|Total de nacidos vivos de la CABA|Refiere al número de mujeres que mueren por cualquier causa relacionada o agravada por el embarazo o su atención (excluyendo causas accidentales o incidentales) durante el embarazo, el parto, o dentro de los 42 días siguientes a la terminación del embarazo|Cociente entre el número de defunciones por causas maternas acaecidas en la población femenina durante un año dado y el número de nacidos vivos registrados durante el mismo año. Se expresa por 10.000.|1991 en adelante (1997: dato no disponible)|--||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.1 De aquí a 2030, reducir la tasa mundial de mortalidad materna a menos de 70 por cada 100.000 nacidos vivos.|true
dim21|tas_mort_sida|Tasa de mortalidad por SIDA|90|dgeyc_ev_proy|mxsida|Población residente en CABA|Relación entre las defunciones por Sida en un año dado y la población media en el mismo año.|Cociente entre el número total de defunciones estimadas por Sida en una población total o de determinado sexo y el total de esa población, se expresa por 100.000.|1990 en adelante|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.3 De aquí a 2030, poner fin a las epidemias del SIDA, la tuberculosis, la malaria y las enfermedades tropicales desatendidas y combatir la hepatitis, las enfermedades transmitidas por el agua y otras enfermedades transmisibles.|true
dim15|tas_net_esc|Tasa neta de escolarización de la población de 6 a 24 años por nivel de enseñanza |40|dgeyc_eah|pje|Población de 6 a 24 años residente en CABA|Porcentaje de población escolarizada en cada nivel de enseñanza, y cuya edad coincide con la edad teórica del nivel que cursa, respecto del total de la población de ese grupo de edad. |Cociente entre las personas escolarizadas en cada nivel de enseñanza, con edad escolar pertinente al nivel que cursan, y el total de la población de ese grupo de edad, por cien. |2010 en adelante|Sexo, Nivel de enseñanza||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 4. Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanante para todos. Más específicamente a la Meta 4.1 De aquí a 2030, asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria, que ha de ser gratuita, equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.|true
dim14|tas_part_cuid|Tasa de participación de la población de 15 a 74 años, en actividades de cuidado no remunerado a miembros del hogar. Año 2005|880|dgeyc_eut05|pje|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (día previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2016 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_cuid_16|Tasa de participación de la población de 14 años y más, en actividades de cuidado no remunerado a miembros del hogar. Año 2016|840|dgeyc_eut16|pje|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario.|2016|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2005 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años. En los cuadros donde se presentan desagregaciones por nivel educativo alcanzado, se excluye a la población que asiste o asistió como máximo a otras escuelas especiales. |Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_dom|Tasa de participación de la población de 15 a 74 años, en actividades de trabajo doméstico no remunerado, según variables seleccionadas. Año 2005|860|dgeyc_eut05|pje|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2016 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_dom_16|Tasa de participación de la población de 14 años y más, en actividades de trabajo doméstico no remunerado, según variables seleccionadas. Año 2016|820|dgeyc_eut16|pje|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario. |2016|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2005 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años. En los cuadros donde se presentan desagregaciones por nivel educativo alcanzado, se excluye a la población que asiste o asistió como máximo a otras escuelas especiales.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_lad|Tasa de participación de la población de 15 a 74 años, de lunes a domingo. Año 2005|850|dgeyc_eut05|pje|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado actividades de cada grupo en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó cada actividad y la población total, por cien.|2005|Sexo, Grandes grupos  de actividades|La comparación con el año 2016 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_lad_16|Tasa de participación de la población de 14 años y más, de lunes a domingo. Año 2016|810|dgeyc_eut16|pje|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado actividades de cada grupo en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de actividad.|2016|Sexo, Grandes grupos  de actividades|La comparación con el año 2005 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_merc|Tasa de participación de la población de 15 a 74 años, en actividades para el mercado. Año 2005|870|dgeyc_eut05|pje|Población de 15 a 74 años residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados.|2005|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2016 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim14|tas_part_merc_16|Tasa de participación de la población de 14 años y más, en actividades para el mercado. Año 2016|820|dgeyc_eut16|pje|Población de 14 años y más residente en CABA. Excluye a la población residente en villas de emergencia, hoteles, inquilinatos, pensiones y casas tomadas.|Da cuenta de la participación de las personas que respondieron haber realizado esta actividad en el período de referencia (dia previo a la encuesta)|Cociente entre la población (mujeres, varones) que realizó esta actividad y la población total, por cien; para cada grupo de edad, nivel de instrucción y quintil de ingreso per cápita familiar. En el caso de la variable “nivel de instrucción alcanzado”, excluye a la población que asiste o asistió, como máximo, a otras escuelas especiales. En el caso de la variable “quintil de ingreso per cápita familiar”, excluye los casos ignorados. Los quintiles de IPCF no representan el 20% de la población dados los importantes empates en los ingresos declarados. Se excluye la población que NSNC ingresos. El ingreso de la población que declaró ingresos por tramos fue transformado en ingreso puntual adoptando el valor mediano de los ingresos observados agrupados por tramos idénticos a los aplicados en el cuestionario. |2016|Sexo, Grupo de edad, Nivel de instrucción alcanzado, Quintil de ingreso|La comparación con el año 2005 sólo debe hacerse a título exploratorio, ya que los instrumentos no son estrictamente comparables debido a que, a pesar de usarse en ambos casos un diario de actividad, existen algunas diferencias. Se utilizaron distintos clasificadores de actividades, en 2005 se utilizó el clasificador de ICATUS, mientras la UT CABA 2016 utilizó la CAUTAL En 2005 se relevó en papel y en 2016 en dispositivo móvil. Este último facilitó la indagación, permitiendo corregir errores de registro en el momento, haciendo inmediatas las advertencias de potenciales inconsistencias o incompletitud.  Existieron  decisiones metodológicas en relación con la simultaneidad de las tareas en particular, lo referido al uso de los medios de comunicación, en donde en el último relevamiento se captó el tiempo destinado al uso exclusivo (sin simultaneidad). En 2005 el diario de actividades se aplicó en un módulo de la EAH a un grupo de rotación, mientras que en 2016 se realizó una encuesta específica. El universo de población en 2005 fue de 15 a 74 años, mientras que en 2016 fue de 14 y más años. En los cuadros donde se presentan desagregaciones por nivel educativo alcanzado, se excluye a la población que asiste o asistió como máximo a otras escuelas especiales.|Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos, infraestructuras y políticas de protección social, y promoviendo la responsabilidad compartida en el hogar y la familia, según proceda en cada país.|true
dim11|tas_sub|Tasa de subocupación horaria|80|dgeyc_eah|pje|Población económicamente activa residente en la CABA|Indica la parte de la población ocupada que declaran trabajar menos de 35 horas semanales por causas involuntarias con respecto a la población económicamente activa. La misma incluye la subocupación horaria demandante y no demandante. Se considera subocupados horarios a los ocupados |Cociente entre la población ocupada que trabajó en la semana de referencia menos de 35 horas entre todas sus ocupaciones, deseaba trabajar más horas y estaba disponible para hacerlo, y la población económicamente activa, por cien; para cada uno de los sexos.|2003 en adelante|Sexo|||
dim01|tgf_cen|Tasa global de fecundidad censal (TGF)|70|dgeyc_datcensos|hxmuj|Mujeres de 15 a 49 años residentes en CABA|Número de hijos que en promedio tendría cada mujer de una cohorte hipotética de mujeres que durante el período fértil tuvieran sus hijos de acuerdo a las tasas de fecundidad por edad de la población en estudio y no estuvieran expuestas a riesgos de mortalidad desde el nacimiento hasta el término del período fértil.|Se obtiene por la suma de las tasas de fecundidad por edad.|1887 y años censales|--|||
dim21|tip_cob_sal|Tipo de cobertura de salud de la población (en porcentaje)|110|dgeyc_eah|pje|Población residente en CABA|La cobertura de salud se define como la garantía que el estado y la sociedad otorgan para que los individuos puedan satisfacer sus necesidades de salud mediante el acceso al sistema de servicios de salud. Permite conocer la condición de afiliación de la población, es decir, si está o no afiliada a algún sistema de atención de la salud. La afiliación a un sistema de atención de la salud se define como la integración de la población a alguna institución que brinda y/o financia servicios de salud. Puede ser obligatoria (obra social) o voluntaria (prepago, mutual, etc.). Sistema público (incluye Programas y planes estatales de salud): Incluye aquellos que no están afiliados a ninguna de los otros tipos de cobertura de salud y a los que cuentan con cobertura del Programa Cobertura Porteña de Salud/Plan Médicos de Cabecera del Gobierno de la Ciudad de Buenos Aires. Obra social (incluye PAMI): cobertura de salud que obtienen los trabajadores por el descuento en sus salarios, en su haber previsional o a través de su aporte (para los monotributistas o autónomos). Incluye a los familiares del titular. Prepaga o mutual via obra social: pertenencia al sistema de medicina privada a través del aporte de una obra social. Plan de medicina prepaga por contratación voluntaria: sistema de salud privado contratado voluntariamente y pagado en su totalidad por el titular. Excluye: contratación de un servicio de emergencias médicas que solamente preste el servicio de traslado en ambulancia desde el domicilio particular a un centro de atención de salud. Con otros sistemas de salud: Incluye a la población cubierta por dos o más sistemas y a la que tiene sólo mutual y/o sistemas de emergencias médicas.|Cociente entre la población incluida en cada una de las categorías de la variable Tipo de cobertura de salud y el total de hogares, por cien; para cada sexo.|2011 en adelante|Sexo, Grupo de edad||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 3. Garantizar una vida sana y promover el bienestar de todos a todas las edades. Más específicamente a la Meta 3.8 Lograr la cobertura sanitaria universal, incluida la protección contra los riesgos financieros, el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas inocuos, eficaces, asequibles y de calidad para todos.|true
dim24|tip_hab_modif|Porcentaje de población que indica haber modificado algún hábito/actividad por razones de seguridad|30|dgeyc_env|pje|Población de 18 años y más residente en la Ciudad de Buenos Aires que practicaba cada una de las actividades indagadas|Refiere a los cambios en las conductas de la población a partir del temor a resultar víctima de algún delito. La información corresponde a eventos sucedidos en el año 2016.|Cociente entre la población que modificó un hábito y el total de la población de este grupo de edad y sexo, mulltiplicado por cien. Excluye la categoría "no aplica".|2017|||Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5, lograr la igualdad de género y empoderar a todas las mujeres y niñas. Más específicamente se refiere a la Meta 5.2: eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
dim02|tip_hog_porc|Tipo de hogar y sexo del jefe (en porcentaje)|30|dgeyc_datcensos|pje|Hogares residentes en CABA|Es el total de hogares, según el sexo del jefe, y el porcentaje de cada tipo de hogar. Los hogares se clasifican acorde a su composición según relación de parentesco con el jefe de hogar en: 1. Familiar: 1.1. Nuclear: pareja sola o con hijos solteros, o sólo uno de los miembros de la pareja con, al menos, un/a hijo/a soltero/a, 1.2. Extendido: nuclear más otros familiares o jefe/jefa más otros familiares, o 1.3. Compuesto: nuclear u hogar extendido más otros no familiares o jefe/jefa más otros familiares y otros no familiares; 2. No familiar: 2.1. Unipersonal: jefe/jefa (solo o con empleado/s doméstico/s)o 2.2 Multipersonal no familiar: jefe/jefa y otros no familiares |Cociente entre la cantidad la cantidad de jefes/as de hogares de cada tipo de hogar, sobre el total de jefes de hogar, multiplicado por 100.|1980-1991-2001-2010|Sexo del jefe|Refleja el volumen y las tranformaciones en la composición de los hogares a lo largo del tiempo resultado de diversos procesos como cambios en el nivel de la mortalidad, en la  intensidad y calendario de la formación y disolución voluntaria de las uniones y de la fecundidad, en la cuantía y tipo de migraciones, en las formas del allegamiento cohabitacional de personas ajenas al núcleo conyugal; etc.||
dim23|tip_serv|Porcentaje de mujeres de 18 años y más que declaran haber sufrido un hecho de violencia que acudió a un servicio de asistencia |80|dgeyc_en_muj|pje|Mujeres de 18 años y más residentes CABA que declaran haber sufrido algún hecho de violencia.|Permite conocer la utilización de los servicios de asistencia a la víctima en situación de violencia de género. |Cociente entre las mujeres que declaran haber sufrido algun hecho de violencia que recurrieron a a cada tipo servicio de asistencia a la víctima y el total de mujeres que sufieron algun hecho de violencia, multiplicado por cien.|2018||Contribuye al conocimiento sobre la violencia contra las mujeres en sus diferentes  manifestaciones. La línea 0800 666 8537 (Línea de la Ciudad de Buenos Aires), la línea 144 (Línea nacional), la línea 137 (Línea Ministerio de Justicia de la Nación). Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD), Oficina de Asistencia a la Víctima y Testigo (OFAVyT, Fiscalía CABA), Juzgado de familia, Fiscalía penal, Unidad Fiscal.  Defensoría General de la Nación y  la Procuración General de la Ciudad de Buenos Aires.Brigada de Género de la Policía de la Ciudad de Bs. As. y Comisarías de la Mujer de la Provincia de Bs. As.     |Este indicador contribuye al monitoreo del Objetivo de Desarrollo Sostenible 5. Lograr la igualdad de género y empoderar a todas las mujeres y las niñas. Más específicamente a la Meta 5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado, incluidas la trata y la explotación sexual y otros tipos de explotación.|true
